00000167) perceptual - 120.12617; gen_gan - 0.62080; feature_matching - 5.01874; equivariance_value - 0.62476; equivariance_jacobian - 0.76960; kp_distance - 2.21799; verilight - 0.51639; disc_gan - 0.27916
00000168) perceptual - 119.82408; gen_gan - 0.62847; feature_matching - 5.03401; equivariance_value - 0.57229; equivariance_jacobian - 0.72273; kp_distance - 2.15831; verilight - 0.56295; disc_gan - 0.25836
00000169) perceptual - 115.81067; gen_gan - 0.60476; feature_matching - 4.90436; equivariance_value - 0.56600; equivariance_jacobian - 0.73615; kp_distance - 2.02370; verilight - 0.56401; disc_gan - 0.25883
00000170) perceptual - 116.60857; gen_gan - 0.59679; feature_matching - 4.90652; equivariance_value - 0.55119; equivariance_jacobian - 0.72008; kp_distance - 2.18032; verilight - 0.60937; disc_gan - 0.27755
00000171) perceptual - 114.78479; gen_gan - 0.58799; feature_matching - 4.83628; equivariance_value - 0.56016; equivariance_jacobian - 0.72475; kp_distance - 2.27810; verilight - 0.64906; disc_gan - 0.27608
00000172) perceptual - 115.06248; gen_gan - 0.61240; feature_matching - 4.86594; equivariance_value - 0.55846; equivariance_jacobian - 0.71524; kp_distance - 2.25608; verilight - 0.58754; disc_gan - 0.26038
00000173) perceptual - 112.12267; gen_gan - 0.60640; feature_matching - 4.76413; equivariance_value - 0.55815; equivariance_jacobian - 0.71834; kp_distance - 2.27175; verilight - 0.58012; disc_gan - 0.27111
00000174) perceptual - 113.75687; gen_gan - 0.58303; feature_matching - 4.74085; equivariance_value - 0.53129; equivariance_jacobian - 0.68707; kp_distance - 2.26667; verilight - 0.66807; disc_gan - 0.27935
00000175) perceptual - 113.22269; gen_gan - 0.59042; feature_matching - 4.72655; equivariance_value - 0.55173; equivariance_jacobian - 0.72822; kp_distance - 2.25354; verilight - 0.63855; disc_gan - 0.28622
00000176) perceptual - 107.74084; gen_gan - 0.56627; feature_matching - 4.54226; equivariance_value - 0.55177; equivariance_jacobian - 0.71092; kp_distance - 2.20698; verilight - 0.67151; disc_gan - 0.28105
00000177) perceptual - 109.11617; gen_gan - 0.56113; feature_matching - 4.57379; equivariance_value - 0.54975; equivariance_jacobian - 0.71977; kp_distance - 2.19810; verilight - 0.74709; disc_gan - 0.29938
00000178) perceptual - 106.41015; gen_gan - 0.55606; feature_matching - 4.50078; equivariance_value - 0.55689; equivariance_jacobian - 0.70961; kp_distance - 2.11767; verilight - 0.73790; disc_gan - 0.29746
00000179) perceptual - 108.28749; gen_gan - 0.57123; feature_matching - 4.55648; equivariance_value - 0.51190; equivariance_jacobian - 0.68880; kp_distance - 2.01862; verilight - 0.75684; disc_gan - 0.28440
